y__abs_energy,y__quantile__q_0.9,y__quantile__q_0.8,y__quantile__q_0.7,y__quantile__q_0.6,y__quantile__q_0.4,y__quantile__q_0.3,y__quantile__q_0.2,y__quantile__q_0.1,y__sum_values,y__minimum,y__mean,y__maximum,"y__fft_coefficient__coeff_0__attr_""real""","y__fft_coefficient__coeff_0__attr_""abs""","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10",y__median,y__range_count__max_1__min_-1,y
23.4256,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,1.8773370862904948,0.9386685431452474,2.9683305642910147,1.3274777842890035,4.84,0.0,5.23
27.352900000000005,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,2.028610115970928,1.0143050579854638,3.2075142254632247,1.4344439693866713,5.23,0.0,5.91
34.9281,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,2.292368219003476,1.146184109501738,3.6245524039173342,1.6209491126338866,5.91,0.0,5.62
31.5844,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,2.17988314565136,1.0899415728256798,3.4466978866354347,1.541410154484339,5.62,0.0,5.67
32.1489,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,2.1992771238155178,1.0996385619077589,3.47736245858059,1.5551237679583991,5.67,0.0,5.36
28.729600000000005,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,2.079034459197738,1.039517229598869,3.287242112520628,1.4700993644192273,5.36,0.0,5.22
27.2484,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,2.024731320338096,1.0123656601690478,3.201381311074193,1.4317012466918593,5.22,0.0,5.19
26.936100000000003,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,2.013094933439601,1.0065474667198004,3.182982567907101,1.4234730786074234,5.19,0.0,5.29
27.9841,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,2.051882889767917,1.0259414448839586,3.244311711797411,1.4509003055555432,5.29,0.0,5.2
27.040000000000006,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,2.0169737290724323,1.0084868645362162,3.189115482296132,1.4262158013022352,5.2,0.0,5.26
