y__abs_energy,y__quantile__q_0.8,y__quantile__q_0.7,y__quantile__q_0.6,y__quantile__q_0.4,y__quantile__q_0.3,y__quantile__q_0.2,y__quantile__q_0.1,y__minimum,y__median,y__mean,y__maximum,"y__fft_coefficient__coeff_0__attr_""real""","y__fft_coefficient__coeff_0__attr_""abs""","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10",y__quantile__q_0.9,y__sum_values,y
5782.978906810001,76.0459,76.0459,76.0459,76.0459,76.0459,76.0459,76.0459,76.0459,76.0459,76.0459,76.0459,76.0459,76.0459,29.496650481474862,14.748325240737431,46.63829943368143,20.85728157774032,76.0459,76.0459,77.9316
6073.334278560002,77.9316,77.9316,77.9316,77.9316,77.9316,77.9316,77.9316,77.9316,77.9316,77.9316,77.9316,77.9316,77.9316,30.22807497395792,15.11403748697896,47.794783100021,21.374476796301018,77.9316,77.9316,78.3077
6132.095879289999,78.3077,78.3077,78.3077,78.3077,78.3077,78.3077,78.3077,78.3077,78.3077,78.3077,78.3077,78.3077,78.3077,30.373956477708717,15.186978238854357,48.025442010192464,21.47763059685289,78.3077,78.3077,75.8701
5756.2720740099985,75.8701,75.8701,75.8701,75.8701,75.8701,75.8701,75.8701,75.8701,75.8701,75.8701,75.8701,75.8701,75.8701,29.428461254249683,14.714230627124842,46.53048279872226,20.80906451276552,75.8701,75.8701,78.1822
6112.456396839999,78.1822,78.1822,78.1822,78.1822,78.1822,78.1822,78.1822,78.1822,78.1822,78.1822,78.1822,78.1822,78.1822,30.32527759251668,15.16263879625834,47.94847393461011,21.443209427033004,78.1822,78.1822,84.2727
7101.887965290001,84.2727,84.2727,84.2727,84.2727,84.2727,84.2727,84.2727,84.2727,84.2727,84.2727,84.2727,84.2727,84.2727,32.68765807269276,16.34382903634638,51.683725443249465,23.11366468430825,84.2727,84.2727,109.2254
11930.188005159998,109.2254,109.2254,109.2254,109.2254,109.2254,109.2254,109.2254,109.2254,109.2254,109.2254,109.2254,109.2254,109.2254,42.36630045142847,21.183150225714236,66.9870027307669,29.957498342991762,109.2254,109.2254,106.1656
11271.13462336,106.1656,106.1656,106.1656,106.1656,106.1656,106.1656,106.1656,106.1656,106.1656,106.1656,106.1656,106.1656,106.1656,41.17946656369466,20.58973328184733,65.11045358601119,29.11828005283319,106.1656,106.1656,113.0575
12781.99830625,113.0575,113.0575,113.0575,113.0575,113.0575,113.0575,113.0575,113.0575,113.0575,113.0575,113.0575,113.0575,113.0575,43.85269372588587,21.926346862942935,69.33719685378749,31.00853710687067,113.0575,113.0575,90.1141
8120.551018809999,90.1141,90.1141,90.1141,90.1141,90.1141,90.1141,90.1141,90.1141,90.1141,90.1141,90.1141,90.1141,90.1141,34.95341775365502,17.47670887682751,55.26620605445804,24.71579871925573,90.1141,90.1141,80.4678
